method,uri,status,bytes_sent,request_time,rule_count,severity_score,user_agent_len,uri_len,has_sqli_pattern,has_xss_pattern,has_suspicious_path,label
GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986889,200,0,0.0,0,0,0,94,0,0,0,0
GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776407986886,200,0,0.0,0,0,0,98,0,0,0,0
POST,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&fileStage=2,200,0,0.0,0,3,0,123,0,0,0,1
GET,/TEST/management/settings/context,200,0,0.0,0,0,0,33,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/code/plugin.min.js,200,0,0.0,0,0,0,62,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/lists/plugin.min.js,200,0,0.0,0,0,0,63,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/image/plugin.min.js,200,0,0.0,0,0,0,63,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/code/plugin.min.js,200,0,0.0,0,0,0,62,0,0,0,0
GET,/TEST/$$$call$$$/grid/settings/category/category-category-grid/fetch-grid?_=1776408017127,200,0,0.0,0,0,0,89,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/image/plugin.min.js,200,0,0.0,0,0,0,63,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/lists/plugin.min.js,200,0,0.0,0,0,0,63,0,0,0,0
GET,/TEST/$$$call$$$/grid/settings/sections/section-grid/fetch-grid?_=1776408017126,200,0,0.0,0,0,0,79,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/skins/lightgray/fonts/tinymce.woff,200,0,0.0,0,0,0,70,0,0,0,0
GET,/TEST/stats/publications/publications,200,0,0.0,0,0,0,37,0,0,0,0
GET,/TEST/api/v1/stats/publications?count=30&offset=0&dateStart=2026-03-17&dateEnd=2026-04-16&timelineInterval=day&orderBy=total&orderDirection=DESC,200,0,0.0,0,0,0,144,0,0,0,0
GET,/TEST/stats/editorial/editorial,200,0,0.0,0,0,0,31,0,0,0,0
GET,/TEST/stats/users/users,200,0,0.0,0,0,0,23,0,0,0,0
GET,/TEST/stats/reports,200,0,0.0,0,0,0,19,0,0,0,0
GET,/TEST/index,200,0,0.0,0,0,0,11,0,0,0,0
GET,/TEST/search,200,0,0.0,0,0,0,12,0,0,0,0
GET,/TEST/search/index?query=+<script>alert('Test_XSS')</script>+&dateFromYear=&dateFromMonth=&dateFromDay=&dateToYear=&dateToMonth=&dateToDay=&authors=,200,0,0.0,0,3,0,148,0,0,0,1
GET,/TEST/search/index?query=<script>alert('Test_XSS')</script>&dateFromYear=&dateFromMonth=&dateFromDay=&dateToYear=&dateToMonth=&dateToDay=&authors=,200,0,0.0,0,5,0,146,0,0,0,1
GET,/TEST/search/index?query=<script>alert('Test_XSS')</script>&dateFromYear=&dateFromMonth=&dateFromDay=&dateToYear=&dateToMonth=&dateToDay=&authors=,200,0,0.0,0,5,0,146,0,0,0,1
