ip,method,uri_full,uri_norm,timestamp,status,label,attack_tags,anomaly_score
10.34.239.41,GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986872,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986872,1776407987,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986874,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986874,1776407987,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776407986875,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776407986875,1776407988,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776407986876,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776407986876,1776407988,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=3&_=1776407986877,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=3&_=1776407986877,1776407994,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=4&_=1776407986878,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=4&_=1776407986878,1776407996,200,normal,,
10.34.239.41,POST,/TEST/notification/fetchNotification,/TEST/notification/fetchNotification,1776407996,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986880,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986880,1776407996,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986882,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986882,1776407996,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/files/copyedit/copyedit-files-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986883,/TEST/$$$call$$$/grid/files/copyedit/copyedit-files-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986883,1776407996,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/files/final/final-draft-files-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986881,/TEST/$$$call$$$/grid/files/final/final-draft-files-grid/fetch-grid?submissionId=2&stageId=4&_=1776407986881,1776407996,200,normal,,
10.34.239.41,GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=4&_=1776407986879,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=4&_=1776407986879,1776407996,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=3&_=1776407986884,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=3&_=1776407986884,1776408005,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776407986885,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776407986885,1776408006,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986887,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986887,1776408006,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986888,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986888,1776408006,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986889,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776407986889,1776408006,200,normal,,
10.34.239.41,GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776407986886,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776407986886,1776408006,200,normal,,
10.34.239.41,POST,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&fileStage=2,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&fileStage=2,1776408009,200,malicious,attack-generic|attack-xss|attack-protocol,18
10.34.239.41,GET,/TEST/management/settings/context,/TEST/management/settings/context,1776408017,200,normal,,
